CHOSEN_VIDEO_ID,CHOSEN_VIDEO_RATING,NOT_CHOSEN_VIDEO_ID,NOT_CHOSEN_VIDEO_RATING,EMOTION_NAME,CONFIDENCE_RATING,CHOSEN_VIDEO_VAR,NOT_CHOSEN_VIDEO_VAR,VALUE_DIFFERENCE,SUMMED_VARIABILITY,SUMMED_VALUE,CONSISTENT_CHOICE,SUBJECT_ID
271.0,3.985,758.0,1.0,anxiety,,0.5868986283848348,0.0,2.9850000000000003,0.5868986283848348,4.985,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
,,,,anxiety,,,,,,,0,O4mOO2W80Od34gyNg7l6hJzqlDm2
190.0,6.75,1679.0,5.890000000000001,anxiety,5.81,0.3535533905932738,0.3252691193458118,0.8599999999999994,0.6788225099390857,12.64,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1492.0,5.28,1777.0,4.625,anxiety,,2.432447327281724,0.1343502884254437,0.6550000000000002,2.5667976157071672,9.905,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
489.0,4.529999999999999,491.0,1.56,anxiety,,0.268700576850888,0.7919595949289333,2.9699999999999998,1.0606601717798214,6.09,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1737.0,7.0,271.0,3.985,anxiety,5.87,0.0,0.5868986283848348,3.015,0.5868986283848348,10.985,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
460.0,6.404999999999999,911.0,5.805,anxiety,,0.8414570696119918,0.0212132034355966,0.5999999999999996,0.8626702730475885,12.21,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1642.0,5.95,969.0,5.1,anxiety,,0.2828427124746193,0.5374011537017765,0.8500000000000005,0.8202438661763958,11.05,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
190.0,6.75,522.0,3.795,anxiety,,0.3535533905932738,0.8697413408594534,2.955,1.2232947314527272,10.545,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1642.0,5.95,2130.0,4.8,anxiety,,0.2828427124746193,0.1131370849898477,1.1500000000000004,0.395979797464467,10.75,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1777.0,4.625,1402.0,1.665,anxiety,,0.1343502884254437,0.4030508652763321,2.96,0.5374011537017759,6.29,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
1283.0,6.24,1492.0,5.28,anxiety,,1.074802307403552,2.432447327281724,0.96,3.507249634685276,11.52,1,O4mOO2W80Od34gyNg7l6hJzqlDm2
