chosenVideoID,chosenVideoRating,notChosenVideoID,notChosenVideoRating,emotionName,confidenceRating,chosenVideoAvg,notChosenVideoAvg,chosenVideoVar,notChosenVideoVar,value_difference,summed_variability,summed_value,consistent_choice,subject_id
0730,4.925000000000001,1492,3.675,anxiety,5.65,4.925000000000001,3.675,0.03535533905932725,1.2374368670764582,1.2500000000000009,1.2727922061357855,8.600000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1642,2.785,0911,2.19,anxiety,,2.785,2.19,1.3081475451951128,0.579827560572969,0.5950000000000002,1.8879751057680818,4.975,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1642,2.785,0969,1.56,anxiety,,2.785,1.56,1.3081475451951128,0.14142135623730948,1.225,1.4495689014324222,4.345000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
2130,2.755,0522,1.825,anxiety,5.77,2.755,1.825,0.38890872965260104,1.1384419177103413,0.9299999999999999,1.5273506473629423,4.58,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
1777,2.62,0271,2.04,anxiety,6.38,2.62,2.04,0.5232590180780453,0.4808326112068523,0.5800000000000001,1.0040916292848976,4.66,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0744,3.135,0911,2.19,anxiety,,3.135,2.19,0.049497474683058214,0.579827560572969,0.9449999999999998,0.6293250352560272,5.324999999999999,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0377,5.74,2130,2.755,anxiety,4.84,5.74,2.755,1.2020815280171309,0.38890872965260104,2.9850000000000003,1.590990257669732,8.495000000000001,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0911,2.19,0969,1.56,anxiety,,2.19,1.56,0.579827560572969,0.14142135623730948,0.6299999999999999,0.7212489168102785,3.75,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0377,5.74,1767,5.985,anxiety,,5.74,5.985,1.2020815280171309,0.28991378028648457,0.2450000000000001,1.4919953083036155,11.725000000000001,0,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
0377,5.74,1642,2.785,anxiety,,5.74,2.785,1.2020815280171309,1.3081475451951128,2.955,2.5102290732122436,8.525,1,MTRr2PcxaWY1pnBfRMmSgeZjjMl1
